"state","cases","score"
"New York",3593.2109,35.54
"North Dakota",2591.1751,69.52
"South Dakota",2430.4284,83.93
"Iowa",2219.2755,75.48
"Rhode Island",2132.426,39.05
"Mississippi",2122.5144,57.32
"Alabama",2007.9843,63.39
"New Jersey",2003.7063,29.85
"Nebraska",1987.3363,57.59
"Florida",1975.7425,67.86
"Tennessee",1889.2667,60.42
"Wisconsin",1851.9826,70.71
"Alaska",1848.4698,66.85
"Arkansas",1838.2256,68.16
"Georgia",1806.2216,66.79
"Idaho",1795.315,81.40
"Arizona",1783.5448,30.98
"Illinois",1780.8508,49.91
"South Carolina",1763.4149,59.08
"Utah",1755.574,80.09
"Nevada",1717.6793,57.92
"Texas",1665.584,37.68
"Massachusetts",1610.7174,24.88
"District of Columbia",1600.9148,33.93
"Delaware",1595.6565,38.72
"Kansas",1595.4809,60.60
"Indiana",1527.0737,62.38
"Missouri",1510.5701,69.34
"Minnesota",1509.9745,38.45
"Oklahoma",1497.7205,75.89
"Maryland",1475.9517,48.10
"Connecticut",1448.876,34.88
"New Mexico",1438.3046,37.71
"North Carolina",1342.6355,38.33
"Montana",1336.8422,41.67
"Michigan",1226.1798,39.02
"Kentucky",1218.5646,35.77
"Wyoming",1213.3528,70.42
"Virginia",1187.6936,34.82
"California",1183.5035,21.73
"Colorado",1135.0274,30.71
"Ohio",1069.066,61.96
"Pennsylvania",1064.8306,34.17
"Washington",824.8727,37.53
"West Virginia",718.912,41.76
"Oregon",562.495,32.92
"New Hampshire",554.4722,44.94
"Hawaii",446.0118,17.92
"Maine",332.4174,29.35
"Vermont",261.5027,34.76

